depth	attacker	attacker_err	defender	defender_err	total	total_err	
1	10,430000000000005	1,0430000000000006	48,849999999999994	4,885	59,28000000000004	5,928000000000004	
2	122,72999999999996	12,272999999999996	199,02000000000007	19,902000000000008	321,75000000000017	32,17500000000002	
3	540,5800000000003	54,05800000000003	1971,2099999999996	197,12099999999998	2511,7899999999995	251,17899999999997	
4	4277,809999999999	427,7809999999999	7903,300000000002	790,3300000000003	12181,109999999999	1218,1109999999999	
5	13004,640000000007	1300,4640000000009	27299,020000000004	2729,9020000000005	40303,659999999996	4030,366	
